Rank,Spanish,French,English,,Notes
952,listos,prêt,ready,,
953,cita,rendez-vous,appointment,,
954,tenías,tu avais,you had,,
955,negocios,Entreprise,business,,
956,tipos,les types,types,,
957,cámara,caméra,camera,,
958,agente,agent,agent,,
959,verás,tu verras,you will see,,
960,infierno,enfer,hell,,
961,regalo,présent,present,,
962,río,rivière,River,,
963,través,à travers,through,,
964,carne,moi à,meat,,
965,totalmente,totalement,totally,,
966,decirme,dîtes-moi,tell me,,
967,piso,sol,floor,,
968,esposo,mari,husband,,
969,oír,entendre,hear,,
970,harry,harceler,harry,,
971,sargento,sergent,sergeant,,
972,deje,laisser,leave,,
973,tuya,le tiens,yours,,
974,ambos,les deux,both of them,,
975,beber,boire,to drink,,
976,calma,calme,calm,,
977,vestido,robe,dress,,
978,salvo,sauf,except,,
979,ésa,cette,that,,
980,verdadero,vrai,true,,
981,basura,poubelle,trash,,
982,suelo,sol,ground,,
983,carrera,carrière,career,,
984,cumpleaños,anniversaire,birthday,,
985,rato,un petit moment,little while,,
986,iremos,nous irons,we'll go,,
987,universidad,Université,college,,
988,bailar,Danse,dance,,
989,triste,triste,sad,,
990,iglesia,église,church,,
991,m,m,m,,
992,delante,en face de,in front of,,
993,nena,bébé,baby,,
994,banco,Banque,Bank,,
995,cuántos,combien,how many,,
996,encuentra,trouver,find,,
997,supone,supposé,supposed,,
998,existe,existe,exists,,
999,programa,Programme,Program,,
1000,alegro,content de,glad,,
1001,santo,saint,holy,,
1002,porqué,Pourquoi,why,,
1003,novio,copain,boyfriend,,
1004,broma,blague,joke,,
1005,diría,dirait,would say,,
1006,salió,il est parti,he left,,
1007,jesús,Jésus,Jesus,,
1008,prometo,je promets,I promise,,
1009,partido,rencontre,match,,
1010,pregunto,je demande,I ask,,
1011,radio,radio,radio,,
1012,vuelva,revenir,return,,
1013,cenar,dîner,dinner,,
1014,ocurrió,eu lieu,occurred,,
1015,creía,pensée,thought,,
1016,corre,courir,run,,
1017,disculpa,excuse,excuse,,
1018,vienes,Vienne,Viennese,,
1019,cerveza,Bière,beer,,
1020,muerta,morte,dead,,
1021,pensado,pensé,thought-out,,
1022,destino,destination,destination,,
1023,bob,bob,bob,,
1024,matrimonio,mariage,marriage,,
1025,fotos,Photos,Photos,,
1026,diablo,Diable,Devil,,
1027,volveré,je reviendrai,I will be back,,
1028,saberlo,je connais,I know,,
1029,cielos,Cieux,Heavens,,
1030,norte,Nord,north,,
1031,sala,salon,living room,,
1032,órdenes,ordres,orders,,
1033,según,selon,according,,
1034,harás,vous ferez,you will do,,
1035,ataque,attaque,attack,,
1036,parís,Paris,Paris,,
1037,ejemplo,Exemple,example,,
1038,sorpresa,surprise,surprise,,
1039,té,thé,tea,,
1040,pudiera,je pouvais,I could,,
1041,baile,Danse,dance,,
1042,club,club,club,,
1043,temprano,de bonne heure,early,,
1044,público,Publique,public,,
1045,tí,vous,you,,
1046,oí,J'ai entendu,I heard,,
1047,mirando,recherche,looking,,
1048,ventana,la fenêtre,window,,
1049,conocido,connu,known,,
1050,duda,doute,doubt,,
1051,boda,mariage,wedding,,
1052,peligro,danger,danger,,
1053,trabaja,travail,working,,
1054,quise,je voulais,I wanted,,
1055,querías,tu voulais,you wanted,,
1056,caliente,chaud,hot,,
1057,escribir,écrire,to write,,
1058,reina,Reine,Queen,,
1059,esperaba,j'esperais,I expected,,
1060,embargo,embargo,embargo,,
1061,sur,Sud,south,,
1062,enfermo,malade,sick,,
1063,excelente,Excellent,Excellent,,
1064,pone,des endroits,places,,
1065,estés,vous êtes,you're,,
1066,escena,scène,scene,,
1067,encuentro,réunion,meeting,,
1068,asesinato,meurtre,murder,,
1069,mike,Mike,mike,,
1070,obra,travail,work,,
1071,n,n,n,,
1072,veré,je verrai,I will see,,
1073,llamó,J'appelle,I call,,
1074,aquel,cette,that,,
1075,terminar,terminer,finish,,
1076,ganas,vers l'avant,forward,,
1077,conocer,savoir,know,,
1078,pruebas,essais,tests,,
1079,señores,Messieurs,Sirs,,
1080,vos,vous,you,,
1081,escúchame,écoute moi,listen to me,,
1082,veamos,Voyons voir,let's see,,
1083,creen,croyez,believe,,
1084,aun,encore,yet,,
1085,ninguno,aucun,none,,
1086,parecía,ressemblait,looked like,,
1087,mary,Marie,mary,,
1088,viva,vivre,live,,
1089,apenas,à peine,barely,,
1090,segunda,seconde,second,,
1091,bill,facture,bill,,
1092,llave,clé,key,,
1093,regreso,il est revenu,he came back,,
1094,trasero,arrière,rear,,
1095,ojalá,avec optimisme,hopefully,,
1096,veremos,nous verrons,we will see,,
1097,simple,simple,simple,,
1098,seré,je serai,I will be,,
1099,éi,Ei,Ei,,
1100,irse,laisser,leave,,
1101,cartas,des lettres,letters,,
1102,l,l,l,,
1103,libros,livres,books,,
1104,apuesto,Beau,handsome,,
1105,leer,lis,read,,
1106,imbécil,imbécile,fool,,
1107,opinión,opinion,opinion,,
1108,joder,Merde,fuck,,
1109,cambiado,modifié,changed,,
1110,sucedió,c'est arrivé,it happened,,
1111,señal,signal,signal,,
1112,habían,ils avaient,they had,,
1113,agradable,agréable,nice,,
1114,cocina,cuisine,kitchen,,
1115,relación,relation,relationship,,
1116,sueños,rêves,dreams,,
1117,segundos,secondes,seconds,,
1118,corte,Couper,cut,,
1119,escuchar,entendre,hear,,
1120,cerebro,cerveau,brain,,
1121,locura,la démence,madness,,
1122,peligroso,dangereux,dangerous,,
1123,hermanos,frères,brothers,,
1124,entender,comprendre,understand,,
1125,cine,cinéma,movie theater,,
1126,dejes,laisser,let,,
1127,reunión,réunion,meeting,,
1128,tendría,aurait,would have,,
1129,verla,voir,see it,,
1130,duele,ça fait mal,it hurt,,
1131,hicimos,Nous faisions,we did,,
1132,londres,Londres,London,,
1133,tocar,toucher,touch,,
1134,mirar,Regardez,look,,
1135,verme,regarde moi,see me,,
1136,ben,ben,ben,,
1137,suyo,le tiens,yours,,
1138,causa,cause,cause,,
1139,pelea,Bats toi,Fight,,
1140,prisión,prison,prison,,
1141,jim,jim,jim,,
1142,mayoría,plus,most,,
1143,fondo,Contexte,background,,
1144,acaso,peut-être,perhaps,,
1145,vuelvo,je reviens,I come back,,
1146,serán,sera,will be,,
1147,montón,tas,heap,,
1148,toca,pièces,plays,,
1149,comandante,le commandant,commander,,
1150,tome,prendre,take,,
1151,éxito,Succès,success,,
1152,misión,mission,mission,,
1153,vidas,vies,lives,,
1154,decisión,décision,decision,,
1155,hogar,maison,home,,
1156,rico,riches,rich,,
1157,trago,boisson,drink,,
1158,capaz,capable,able,,
1159,cargo,position,position,,
1160,unidos,Uni,United,,
1161,lleno,plein,full,,
1162,bar,Pub,Pub,,
1163,estrella,étoile,star,,
1164,posición,position,position,,
1165,estación,gare,station,,
1166,interesa,intéressé,interested,,
1167,uh,uh,uh,,
1168,edificio,bâtiment,building,,
1169,vayan,aller,go,,
1170,consejo,Conseil,advice,,
1171,pistola,pistolet,gun,,
1172,humano,Humain,human,,
1173,irnos,laisser,leave,,
1174,fantástico,fantastique,fantastic,,
1175,ojo,œil,eye,,
1176,jóvenes,jeunes garçons,young boys,,
1177,zapatos,des chaussures,shoes,,
1178,majestad,majesté,majesty,,
1179,lee,lis,read,,
1180,flores,fleurs,flowers,,
1181,ocupado,occupé,occupied,,
1182,bienvenido,vous êtes les bienvenus,you are welcome,,
1183,zona,zone,zone,,
1184,contacto,Contact,Contact,,
1185,henry,Henri,Henry,,
1186,sacar,prendre,take,,
1187,podrían,pourrait,could,,
1188,jimmy,Jimmy,jimmy,,
1189,tema,thème,theme,,
1190,matado,tué,killed,,
1191,soldado,soldat,soldier,,
1192,sabías,tu sais,you know,,
1193,johnny,johnny,johnny,,
1194,pido,je demande,I ask,,
1195,cierra,se ferme,closes,,
1196,peter,peter,peter,,
1197,intento,a tenté,tried,,
1198,irá,aller à,go to,,
1199,calor,chaud,hot,,
1200,finalmente,finalement,Finally,,
1201,equivocado,faux,wrong,,
1202,animales,animaux,animals,,
1203,departamento,département,Department,,
1204,enemigo,ennemi,enemy,,
1205,caballero,gentilhomme,gentleman,,
1206,color,Couleur,colour,,
1207,necesitan,ils ont besoin,they need,,
1208,empieza,départs,starts,,
1209,soldados,soldats,soldiers,,
1210,vea,voir,see,,
1211,entiende,comprend,understands,,
1212,valor,valeur,value,,
1213,azul,bleu,blue,,
1214,miles,Milliers,Thousands,,
1215,espacio,espace,space,,
1216,estarás,vous serez,you will,,
1217,mantener,garder,keep,,
1218,aprender,apprendre,to learn,,
1219,inteligente,intelligent,smart,,
1220,serás,vous serez,you will,,
1221,arte,art,art,,
1222,respeto,le respect,respect,,
1223,pedir,demander,ask,,
1224,puso,mettre,put,,
1225,llaman,appel,call,,
1226,oiga,écouter,Listen,,
1227,juez,juge,judge,,
1228,inglés,Anglais,English,,
1229,precio,prix,price,,
1230,rojo,rouge,Red,,
1231,formas,formes,shapes,,
1232,hagan,faire,make,,
1233,verano,été,summer,,
1234,podido,j'ai,I have,,
1235,piernas,jambes,legs,,
1236,isla,île,island,,
1237,darme,Donnez-moi,give me,,
1238,damas,Dames,ladies,,
1239,guardia,garde,guard,,
1240,espalda,retour,back,,
1241,c,c,c,,
1242,vengan,viens,come,,
1243,parar,Arrêtez,stop,,
1244,llevas,prendre,take,,
1245,banda,B: et,band,,
1246,quedarme,rester,stay,,
1247,habéis,tu as,you have,,
1248,marcha,Mars,March,,
1249,luces,lumières,lights,,
1250,estuviera,il était,he was,,
1251,crimen,la criminalité,crime,,
1252,dejo,la gauche,left,,
1253,ayudarte,T'aider,help you,,
1254,esperen,attendre,expect,,
1255,teníamos,nous avons eu,we had,,
1256,diferencia,différence,difference,,
1257,llamaré,Je vais appeler,I will call,,
1258,ama,amour,love,,
1259,conocí,J'ai rencontre,I met,,
1260,tiempos,temps,time,,
1261,déjalo,laisser seul,leave it alone,,
1262,debajo,sous,under,,
1263,compañero,un compagnon,companion,,
1264,dejé,laisser,leave,,
1265,come,manger,eat,,
1266,déjeme,laisse moi,let me,,
1267,molesta,dérangé,upset,,
1268,contar,dire,tell,,
1269,dejaré,je partirai,I'll leave,,
1270,hablamos,Nous parlons,We speak,,
1271,cansado,fatigué,tired,,
1272,ganado,a gagné,won,,
1273,pareces,tu sembles,you seem,,
1274,juicio,jugement,judgment,,
1275,hablado,parlé,spoken,,
1276,estilo,style,style,,
1277,ayúdame,Aidez moi,Help me,,
1278,sepa,savoir,know,,
1279,viendo,voyant,seeing,,
1280,salida,Départ,departure,,
1281,alegra,heureux,happy,,
1282,despierta,éveillé,awake,,
1283,estupendo,génial,great,,
1284,darte,pour te donner,to give you,,
1285,estados,Etat,state,,
1286,quedan,sont,are,,
1287,próximo,suivant,next,,
1288,nota,Remarque,note,,
1289,llevó,je porte,I wear,,
1290,puedas,vous pouvez,you can,,
1291,podrá,vous pouvez,you can,,
1292,james,James,James,,
1293,nave,navire,ship,,
1294,base,base,base,,
1295,tenían,Ils avaient,They had,,
1296,sube,monte,goes up,,
1297,vuelo,vol,flight,,
1298,excepto,sauf,except,,
1299,golpe,frappe,knock,,
1300,d,ré,d,,
1301,viento,vent,wind,,
1302,estaremos,nous serons,we will be,,
1303,acción,action,action,,
1304,tonterías,chose futile,silly stuff,,
1305,respecto,le respect,respect,,
1306,desea,tu veux,you want,,
1307,sigues,es-tu encore,are you still,,
1308,debía,devrait,should,,
1309,vendrá,viendra,will come,,
1310,encontramos,nous trouvons,we find,,
1311,beso,baiser,kiss,,
1312,cuestión,question,question,,
1313,volvió,Est revenu,went back,,
1314,reglas,règles,rules,,
1315,ruido,bruit,noise,,
1316,acabado,terminer,finish,,
1317,salga,en dehors,out,,
1318,olvidado,oublié,forgotten,,
1319,mentira,mensonge,lie,,
1320,brazo,bras,arm,,
1321,empezó,ça a commencé,it started,,
1322,cálmate,Relax,take it easy,,
1323,caballos,les chevaux,horses,,
1324,experiencia,expérience,experience,,
1325,tranquila,silencieux,quiet,,
1326,quedar,rester,stay,,
1327,esperanza,espérer,hope,,
1328,irte,laisser,leave,,
1329,vd,vous,you,,
1330,perros,chiens,dogs,,
1331,casado,marié,married,,
1332,llegue,Je suis arrivé,I arrived,,
1333,drogas,drogues,drugs,,
1334,pidió,Il a demandé,he asked,,
1335,espíritu,esprit,spirit,,
1336,vacaciones,vacances,holidays,,
1337,copa,tasse,Cup,,
1338,investigación,enquête,investigation,,
1339,prefiero,je préfère,I prefer,,
1340,solía,habitué,used to,,
1341,llevaré,Je vais prendre,I'll take,,
1342,menudo,souvent,often,,
1343,partir,de,from,,
1344,visita,visite,visit,,
1345,alta,haute,high,,
1346,abrir,ouvrir,open,,
1347,tony,tony,tony,,
1348,nueve,neuf,nine,,
1349,bomba,bombe,bomb,,
1350,energía,Énergie,Energy,,
1351,bolsa,sac,bag,,
1352,hacerte,faire,make,,
1353,santa,Saint,St.,,
1354,pan,pain,bread,,
1355,piel,peau,skin,,
1356,usa,les usages,uses,,
1357,metros,mètres,meters,,
1358,perdona,pardons,forgives,,
1359,escrito,écrit,written,,
1360,exacto,exact,exact,,
1361,jugando,En jouant,Playing,,
1362,cuello,cou,neck,,
1363,larga,longue,long,,
1364,escapar,échapper,escape,,
1365,salvar,enregistrer,save,,
1366,escuche,j'ai écouté,I listened,,
1367,perdone,pardonner,forgive,,
1368,sirve,ça sert,it serves,,
1369,preocupe,inquiéter,worry,,
1370,especie,espèce,species,,
1371,aquella,cette,that,,
1372,verá,tu verras,you will see,,
1373,brazos,bras,arms,,
1374,llena,plein,full,,
1375,subir,monter,go up,,
1376,blanca,blanc,white,,
1377,fe,Foi,faith,,
1378,steve,steve,steve,,
1379,modos,modes,modes,,
1380,traído,apporté,brought,,
1381,películas,films,films,,
1382,dama,Dame,Lady,,
1383,suya,le sien,his,,
1384,decirlo,je dis,I say,,
1385,doble,double,double,,
1386,inmediatamente,immédiatement,immediately,,
1387,culpable,coupable,guilty,,
1388,preocupa,des soucis,worries,,
1389,tardes,les après-midi,afternoons,,
1390,vengo,je viens,I come,,
1391,bosque,forêt,forest,,
1392,perdí,J'ai raté,I missed,,
1393,max,max,max,,
1394,volverá,Pour revenir à,To return to,,
1395,taxi,taxi,cab,,
1396,volar,voler,fly,,
1397,debido,dû,due,,
1398,repente,soudainement,suddenly,,
1399,bromeando,plaisanterie,joking,,
1400,ios,ios,ios,,
1401,viejos,vieux,old,,
1402,planeta,planète,planet,,
1403,leche,Lait,milk,,
1404,nick,entaille,nick,,
1405,tanta,tellement de,so much,,
1406,tuviera,eu,had,,
1407,encantado,charmé,charmed,,
1408,cabrón,Idiot,dumbass,,
1409,correr,courir,run,,
1410,depende,Ça dépend,It depends,,
1411,eddie,eddie,eddie,,
1412,común,commun,common,,
1413,informe,rapport,report,,
1414,billy,gamelle,billy,,
1415,solamente,seulement,only,,
1416,máquina,machine,machine,,
1417,muere,aller mort,go dead,,
1418,principal,principal,principal,,
1419,ridículo,ridicule,ridiculous,,
1420,entrada,entrée,entry,,
1421,encontró,il a trouvé,he found,,
1422,podamos,nous pouvons,we can,,
1423,acabar,terminer,finish,,
1424,américa,Amérique,America,,
1425,regresa,revenu,came back,,
1426,probar,Essaie,try out,,
1427,príncipe,le prince,the prince,,
1428,mr,m,mr,,
1429,preparado,préparé,prepared,,
1430,pedido,ordre,order,,
1431,propósito,objectif,purpose,,
1432,dieron,ils ont donné,they gave,,
1433,salido,sorti,stepped out,,
1434,cliente,client,client,,
1435,árbol,arbre,tree,,
1436,absoluto,absolu,absolute,,
1437,dejas,vous laissez,you let,,
1438,quiénes,Qui,Who,,
1439,habías,tu avais,you had,,
1440,b,b,b,,
1441,parecen,ils ressemblent à,they look like,,
1442,belleza,beauté,beauty,,
1443,llame,J'ai appelé,I called,,
1444,intenta,essayer,try,,
1445,humanos,humains,humans,,
1446,you,vous,you,,
1447,tratar,essayer,try,,
1448,vuestra,votre,your,,
1449,hayas,tu as,you have,,
1450,princesa,Princesse,Princess,,
1451,sigo,je suis,I follow,,
1452,quedarse,rester,stay,,
1453,oeste,Ouest,West,,
1454,traer,apporter,bring,,
1455,olvídalo,oublie ça,forget this,,
1456,francia,France,France,,
1457,tuvimos,nous avons eu,we had,,
1458,ayudarme,Aidez moi,help me,,
1459,deprisa,rapidement,quickly,,
1460,llaves,clés,keys,,
1461,tiro,jeta,threw,,
1462,cerdo,porc,pork,,
1463,gato,chat,cat,,
1464,inglaterra,Angleterre,England,,
1465,vistazo,coup d'œil,glance,,
1466,cuántas,combien,how many,,
1467,defensa,la défense,defending,,
1468,nuevos,Nouveau,new,,
1469,últimos,dernier,latest,,
1470,reloj,l'horloge,clock,,
1471,fuimos,nous sommes allés,we went,,
1472,batalla,bataille,battle,,
1473,hable,j'ai parlé,I talked,,
1474,caminar,marche,walk,,
1475,hacerle,faire,make,,
1476,vayamos,nous allons,we go,,
1477,interior,à l'intérieur,inside,,
1478,bella,belle,beautiful,,
1479,felices,heureux,happy,,
1480,intentando,en essayant,trying,,
1481,apartamento,appartement,apartment,,
1482,teatro,théâtre,theater,,
1483,hacerme,moi,me,,
1484,papi,papa,Daddy,,
1485,ee,ee,ee,,
1486,asuntos,problèmes,issues,,
1487,confiar,confiance,trust,,
1488,hielo,la glace,ice,,
1489,detective,détective,detective,,
1490,deberían,devrait,should,,
1491,cantar,chanter,to sing,,
1492,bajar,descendre,go down,,
1493,vuestro,votre,your,,
1494,pelear,bats toi,fight,,
1495,locos,locos,locos,,
1496,paga,Payer,pay,,
1497,oyes,tu entends,you hear,,
1498,completo,plein,full,,
1499,lucha,bats toi,fight,,
1500,fuerzas,les forces,forces,,
1501,ideas,idées,Ideas,,
1502,borracho,ivre,drunk,,
1503,héroe,héros,hero,,
1504,camión,un camion,truck,,
1505,cabo,cap,cape,,
1506,dientes,les dents,teeth,,
1507,verde,vert,green,,
1508,despacio,lentement,slowly,,
1509,decidido,décidé,decided,,
1510,sociedad,société,society,,
1511,pareja,partenaire,partner,,
1512,dígame,dîtes-moi,tell me,,
1513,estuviste,vous étiez,you were,,
1514,nariz,nez,nose,,
1515,vergüenza,la honte,shame,,
1516,caer,Tomber,fall out,,
1517,j,j,j,,
1518,herido,blessé,injured,,
1519,uu,uu,uu,,
1520,cuentas,comptes,accounts,,
1521,pista,Piste,track,,
1522,siéntese,asseoir,sit,,
1523,bebe,bébé,baby,,
1524,sonido,du son,sound,,
1525,estrellas,étoiles,stars,,
1526,sombrero,chapeau,hat,,
1527,cayó,c'est tombé,it fell,,
1528,evitar,éviter,avoid,,
1529,pasará,cela va arriver,it will happen,,
1530,maría,Marie,Mary,,
1531,memoria,Mémoire,memory,,
1532,solos,seul,alone,,
1533,llorar,cri,cry,,
1534,nervioso,nerveux,nervous,,
1535,lástima,pitié,pity,,
1536,haberlo,j'ai,I have,,
1537,época,temps,time,,
1538,naturaleza,la nature,nature,,
1539,vender,vendre,to sell,,
1540,política,politique,politics,,
1541,levántate,Se lever,Get up,,
1542,estudio,étude,study,,
1543,brillante,scintillante,sparkly,,
1544,nivel,niveau,level,,
1545,diferentes,différent,different,,
1546,dando,donnant,giving,,
1547,hubiese,j'ai eu,I had,,
1548,permite,Il permet,It allows,,
1549,justicia,Justice,Justice,,
1550,planes,des plans,plans,,
1551,gay,gai,gay,,
1552,mírame,Regarde moi,Look at me,,
1553,llegamos,nous sommes arrivés,we arrived,,
1554,roma,Rome,Rome,,
1555,seguramente,sûrement,surely,,
1556,papa,le pape,Pope,,
1557,parecer,sembler,seem,,
1558,t,t,t,,
1559,terminó,fini,finished,,
1560,pierna,jambe,leg,,
1561,quienes,Qui,Who,,
1562,ray,rayon,ray,,
1563,millón,million,million,,
1564,enorme,énorme,huge,,
1565,charles,Charles,charles,,
1566,inocente,innocent,innocent,,
1567,mismos,même,same,,
1568,pantalones,un pantalon,pants,,
1569,ministro,Ministre,Minister,,
1570,bienvenida,Bienvenue,welcome,,
1571,u,ou,or,,
1572,refiero,je veux dire,I mean,,
1573,nombres,Des noms,Name (s,,
1574,mando,j'envoie,I send,,
1575,ponte,ponte,ponte,,
1576,preciosa,précieux,precious,,
1577,alex,alex,alex,,
1578,quedó,c'était,it was,,
1579,podrás,vous pouvez,you can,,
1580,pesar,peser,to weigh,,
1581,animal,animal,animal,,
1582,enferma,malade,sick,,
1583,extraña,étrange,strange,,
1584,enamorado,amoureux,in love,,
1585,tv,la télé,TV,,
1586,autobús,autobus,bus,,
1587,recordar,rappelles toi,remember,,
1588,estáis,vous êtes,you are,,
1589,pequeños,petits,little ones,,
1590,luchar,lutter,to struggle,,
1591,date,rendez-vous amoureux,date,,
1592,contrario,contraire,contrary,,
1593,tomado,pris,taken,,
1594,sois,vous êtes,you are,,
1595,movimiento,mouvement,movement,,
1596,estan,est-il si,is it so,,
1597,sentado,assise,seated,,
1598,gana,envie,desire,,
1599,robert,robert,robert,,
1600,estén,sont,are,,
1601,motivo,raison,reason,,
1602,absolutamente,absolument,absolutely,,
1603,dé,de,of,,
1604,puente,pont,bridge,,
1605,comprendo,je comprends,I understand,,
1606,huevos,des œufs,eggs,,
1607,tomó,Je prends,I take,,
1608,cuento,récit,story,,
1609,botella,bouteille,bottle,,
1610,cuesta,Coût,cost,,
1611,detente,Arrêtez,stop,,
1612,corriendo,fonctionnement,running,,
1613,confianza,confiance,trust,,
1614,felicidad,bonheur,happiness,,
1615,espada,épée,sword,,
1616,silla,chaise,chair,,
1617,bobby,policier,bobby,,
1618,noticia,Nouvelles,News,,
1619,casas,Maisons,houses,,
1620,televisión,la télé,TV,,
1621,acuerdas,rappelles toi,remember,,
1622,necesitaba,nécessaire,needed,,
1623,pared,mur,wall,,
1624,aquellos,ceux,those,,
1625,prensa,presse,press,,
1626,trampa,piège,trap,,
1627,presente,j'ai présenté,I presented,,
1628,estarán,sera,will be,,
1629,jardín,Cour,yard,,
1630,cabello,cheveux,hair,,
1631,espectáculo,spectacle,show,,
1632,podré,je serai capable,I will be able,,
1633,grave,sérieux,serious,,
1634,bastardo,Connard,bastard,,
1635,dará,donner à,give to,,
1636,siga,suivre,follow,,
1637,periódico,Journal,Newspaper,,
1638,coño,cône,cone,,
1639,danny,danny,danny,,
1640,negros,noir,black,,
1641,alguno,tout,any,,
1642,anillo,bague,ring,,
1643,monstruo,monstre,monster,,
1644,total,total,total,,
1645,ai,ai,ai,,
1646,tommy,tommy,tommy,,
1647,piedra,pierre,stone,,
1648,contento,heureux,happy,,
1649,quedarte,rester,stay,,
1650,tengan,avoir,have,,
1651,oigan,entendre,hear,,
1652,sentí,j'ai senti,I felt,,
1653,debí,Je devrais,I should,,
1654,ahi,Là,there,,
1655,policías,police,police,,
1656,lugares,des endroits,places,,
1657,contrato,Contrat,contract,,
1658,playa,Plage,Beach,,
1659,costa,côte,coast,,
1660,puertas,des portes,doors,,
1661,asiento,siège,seat,,
1662,tarjeta,carte,card,,
1663,restaurante,restaurant,restaurant,,
1664,quede,rester,stay,,
1665,paseo,marche,walk,,
1666,hechos,actes,acts,,
1667,hagamos,faisons,let's do,,
1668,maravillosa,merveilleux,wonderful,,
1669,pon,mettre,put,,
1670,inspector,inspecteur,inspector,,
1671,domingo,dimanche,Sunday,,
1672,especialmente,notamment,especially,,
1673,velocidad,la vitesse,speed,,
1674,negra,noir,black,,
1675,richard,Richard,richard,,
1676,intentar,essayer,try,,
1677,proyecto,Brouillon,draft,,
1678,clientes,les clients,customers,,
1679,victoria,la victoire,victory,,
1680,encantaría,amour,love,,
1681,operación,opération,operation,,
1682,perdió,perdu,lost,,
1683,tonta,stupide,dumb,,
1684,imagen,image,image,,
1685,show,Spectacle,Show,,
1686,lleve,J'ai porté,I carried,,
1687,amas,amour,love,,
1688,responsable,responsable,responsable,,
1689,gustaba,Il aimait,He liked,,
1690,aspecto,apparence,appearance,,
1691,tantos,beaucoup,many,,
1692,sentimientos,sentiments,feelings,,
1693,creerlo,je le crois,I believe it,,
1694,objetivo,objectif,objective,,
1695,sarah,sarah,sarah,,
1696,llevan,Ils portent,They carry,,
1697,malas,mal,bad,,
1698,red,net,net,,
1699,dejen,laisser,leave,,
1700,nuevas,nouvelles,news,,
1701,muchacha,fille,girl,,
1702,dormido,endormi,asleep,,
1703,and,et,and,,
1704,historias,histoires,stories,,
1705,arreglar,réparer,fix,,
1706,turno,tour,turn,,
1707,yendo,Aller,going,,
1708,tuviste,Vous avez vu,You saw,,
1709,ponga,mettre,put,,
1710,olvides,oublier,forget,,
1711,escuché,j'ai écouté,I listened,,
1712,pasada,passer,pass,,
1713,mata,Buisson,Bush,,
1714,tantas,beaucoup,many,,
1715,montaña,Montana,Montana,,
1716,gracia,la grâce,Grace,,
1717,enfermedad,maladie,disease,,
1718,dedos,les doigts,fingers,,
1719,guapa,belle,beautiful,,
1720,querer,vouloir,want,,
1721,p,p,p,,
1722,ocurrido,arrivé,happened,,
1723,pocos,peu,few,,
1724,deber,doit,must,,
1725,refieres,vous voulez dire,you mean,,
1726,viernes,Vendredi,Friday,,
1727,preocupado,préoccupé,worried,,
1728,clases,cours,lessons,,
1729,rayos,Rayon,Ray,,
1730,inútil,Inutile,Useless,,
1731,washington,Washington,Washington,,
1732,abierto,ouvrir,open,,
1733,haberte,Pardon,sorry,,
1734,oscuridad,ténèbres,darkness,,
1735,verdadera,réal,real,,
1736,americano,américain,American,,
1737,trajo,apporté,brought,,
1738,gustó,goût,taste,,
1739,primo,cousin,cousin,,
1740,nacional,nationale,national,,
1741,supe,je savais,I knew,,
1742,colegio,école,school,,
1743,malditos,maudit,accursed,,
1744,cuchillo,couteau,knife,,
1745,ibas,vous étiez,you were,,
1746,llegué,Je suis arrivé,I arrived,,
1747,sir,Monsieur,sir,,
1748,diario,du quotidien,daily,,
1749,francés,français,French,,
1750,quedo,Je reste,I remain,,
1751,podremos,nous pouvons,we can,,
1752,orgulloso,fier,proud,,
1753,ladrón,voleur,thief,,
1754,martin,Martin,Martin,,
1755,preguntar,demander,ask,,
1756,pedí,J'ai demandé,I asked,,
1757,central,central,central,,
1758,voluntad,Volonté,Will,,
1759,harán,ils vont,they will,,
1760,jake,jake,jake,,
1761,www,www,www,,
1762,militar,militaire,military,,
1763,agradezco,J'apprécie,I appreciate,,
1764,llevaba,Il portait,He wore,,
1765,mami,maman,Mommy,,
1766,lluvia,pluie,rain,,
1767,éramos,nous étions,we were,,
1768,natural,Naturel,natural,,
1769,calles,des rues,streets,,
1770,cien,cent,one hundred,,
1771,lengua,la langue,language,,
1772,china,Chine,China,,
1773,testigo,témoin,witness,,
1774,ayude,Aidez-moi,help,,
1775,quiso,il voulait,he wanted,,
1776,cansada,fatigué,tired,,
1777,puse,je mets,I put,,
1778,irás,tu iras,you will go,,
1779,alemanes,allemand,German,,
1780,pago,Paiement,payment,,
1781,mirada,Regardez,look,,
1782,momentos,des moments,moments,,
1783,quieto,encore,still,,
1784,sentía,il se sentait,he felt,,
1785,escuchen,écouter,listen,,
1786,descansar,du repos,rest,,
1787,mercado,marché,market,,
1788,dura,difficile,hard,,
1789,humana,Humain,human,,
1790,estúpida,stupide,stupid,,
1791,humor,humour,humor,,
1792,bienvenidos,Bienvenue,Welcome,,
1793,conocía,il savait,he knew,,
1794,jane,Jeanne,jane,,
1795,entero,entier,whole,,
1796,roja,rouge,red,,
1797,larry,larry,larry,,
1798,llamaba,Il a appelé,He called,,
1799,tomas,coups,shots,,
1800,dueño,propriétaire,owner,,
1801,echar,jeter,throw,,
1802,emergencia,urgence,emergency,,
1803,roto,cassé,broken,,
1804,actuar,Acte,Act,,
1805,mark,marque,mark,,
1806,inmediato,maintenant,righ now,,
1807,puntos,points,points,,
1808,paciente,patient,patient,,
1809,olvidé,oublié,forgot,,
1810,hables,vous parlez,you speak,,
1811,varios,divers,various,,
1812,polvo,poudre,powder,,
1813,ángeles,anges,angels,,
1814,coger,prendre,take,,
